module_id	module_label	protein_row_id	mnemonic	gene_symbol_curated
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	A1AG1_HUMAN	A1AG1	ORM1
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	A1AG2_HUMAN	A1AG2	ORM2
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	A2MG_HUMAN	A2MG	A2M
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	AFAM_HUMAN	AFAM	AFM
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	ALBU_HUMAN	ALBU	ALB
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	ALBU_HUMAN	ALBU	ALB
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	ALBU_HUMAN	ALBU	ALB
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOA1_HUMAN	APOA1	APOA1
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	APOA1_HUMAN	APOA1	APOA1
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	APOA1_HUMAN	APOA1	APOA1
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOA2_HUMAN	APOA2	APOA2
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	APOA2_HUMAN	APOA2	APOA2
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	APOA2_HUMAN	APOA2	APOA2
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOA4_HUMAN	APOA4	APOA4
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	APOA4_HUMAN	APOA4	APOA4
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOA5_HUMAN	APOA5	APOA5
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOB_HUMAN	APOB	APOB
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOC1_HUMAN	APOC1	APOC1
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOC2_HUMAN	APOC2	APOC2
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOC3_HUMAN	APOC3	APOC3
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	APOC3_HUMAN	APOC3	APOC3
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOC4_HUMAN	APOC4	APOC4
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOD_HUMAN	APOD	APOD
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOE_HUMAN	APOE	APOE
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOF_HUMAN	APOF	APOF
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOH_HUMAN	APOH	APOH
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOL1_HUMAN	APOL1	APOL1
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	APOM_HUMAN	APOM	APOM
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	B2MG_HUMAN	B2MG	B2M
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	C1QA_HUMAN	C1QA	C1QA
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	C1QB_HUMAN	C1QB	C1QB
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	C1QC_HUMAN	C1QC	C1QC
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	C1R_HUMAN	C1R	C1R
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	C1S_HUMAN	C1S	C1S
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	C4BPA_HUMAN	C4BPA	C4BPA
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	C4BPB_HUMAN	C4BPB	C4BPB
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	CALR_HUMAN	CALR	CALR
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	CAMP_HUMAN	CAMP	CAMP
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	CATB_HUMAN	CATB	CTSB
