module_id	module_label	visit_week	baseline_bmi_group	n	mean_module_score	sd_module_score	median_module_score
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	0	BMI_ge_18_5	17	-0.4060724035902324	0.4947468422111131	-0.3960216656248979
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	0	BMI_lt_18_5	13	-0.2491882604260223	0.5726441068865125	-0.2662812113355357
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	8	BMI_ge_18_5	17	-0.1186420737037203	0.3864208692505321	-0.1059260603314841
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	8	BMI_lt_18_5	13	-0.010422350063492	0.5225728304422649	0.2036096162482328
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	17	BMI_ge_18_5	17	0.0949245813660575	0.4351137557869446	0.0351314753877677
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	17	BMI_lt_18_5	13	0.1887411580451405	0.3808385524803785	0.2906530029466689
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	26	BMI_ge_18_5	17	0.068801072951571	0.4028602307734776	0.0157940009880357
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	26	BMI_lt_18_5	13	0.1828980674152596	0.4539859245126261	0.2007135720507324
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	52	BMI_ge_18_5	17	0.1345694724437626	0.2910900387783218	0.1469604483298499
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	52	BMI_lt_18_5	13	0.2070543474869123	0.3623346494822796	0.1549028674008606
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	0	BMI_ge_18_5	17	0.0956144452683822	0.2375104508438285	0.1141069419312506
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	0	BMI_lt_18_5	13	0.032890437583584	0.2536490155364357	0.0316278997605412
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	8	BMI_ge_18_5	17	0.0374087315756575	0.2636545918033889	0.0690990613724942
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	8	BMI_lt_18_5	13	0.0080653316205209	0.3163879279406514	0.0103939361676935
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	17	BMI_ge_18_5	17	0.0149480568305361	0.2839561253889769	0.026954067622876
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	17	BMI_lt_18_5	13	-0.0357507818483015	0.3638571365989351	-0.0133281728915578
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	26	BMI_ge_18_5	17	-0.010273613898743	0.2734140095601014	-0.0124987306342797
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	26	BMI_lt_18_5	13	-0.0143195989622343	0.2969441391342746	-0.0022651562574045
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	52	BMI_ge_18_5	17	-0.0317541582703586	0.2269793160203931	-0.1128000641432402
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	52	BMI_lt_18_5	13	-0.1356907600219716	0.2989792420526695	-0.2100118073559195
