module_id	module_label	visit_week	n_BMI_lt_18_5	n_BMI_ge_18_5	mean_delta_BMI_lt_18_5	mean_delta_BMI_ge_18_5	delta_difference_lt_minus_ge	abs_delta_difference	welch_p	welch_q_BH_global
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	8	13	17	-0.03365766617604098	0.2120500284928769	-0.2457076946689179	0.2457076946689179	0.14133341323124857	0.8726977964291124
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	8	13	17	0.3979175531197519	0.6108859291878511	-0.2129683760680992	0.2129683760680992	0.30987706420505506	0.8726977964291124
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	8	13	17	-0.4825642920850599	-0.3202084557560279	-0.162355836329032	0.162355836329032	0.4269928315461874	0.8726977964291124
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	8	13	17	-0.053320357454324806	-0.2074598530732178	0.15413949561889298	0.15413949561889298	0.19196695221396165	0.8726977964291124
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	8	13	17	-0.5854246765794523	-0.43239552404214504	-0.15302915253730726	0.15302915253730726	0.36650264864236626	0.8726977964291124
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	8	13	17	0.2944315301647858	0.44389565177082785	-0.14946412160604206	0.14946412160604206	0.4107032753765745	0.8726977964291124
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	8	13	17	0.036731610582343026	0.17401640433944965	-0.13728479375710662	0.13728479375710662	0.19285216033413305	0.8726977964291124
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	8	13	17	0.25913943047096244	0.3744697810733055	-0.11533035060234303	0.11533035060234303	0.421962054246958	0.8726977964291124
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	8	13	17	-0.010456542416076057	-0.03534992518415038	0.024893382768074325	0.024893382768074325	0.8728318693049166	0.9771463810236727
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	8	13	17	0.2833577531887537	0.26813708256923413	0.015220670619519594	0.015220670619519594	0.9327306364316875	0.9771463810236727
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	8	13	17	0.004524696407333791	-0.006404471820342519	0.01092916822767631	0.01092916822767631	0.9213950550040815	0.9771463810236727
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	17	13	17	0.6896685209487081	0.9585395506859837	-0.2688710297372756	0.2688710297372756	0.1810108814441824	0.8726977964291124
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	17	13	17	0.42168019094189835	0.624513248887297	-0.20283305794539863	0.20283305794539863	0.1293170494514735	0.8726977964291124
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	17	13	17	-0.563412419084069	-0.37405736924250776	-0.18935504984156126	0.18935504984156126	0.38420016069066265	0.8726977964291124
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	17	13	17	-0.651247761607623	-0.5181495092237977	-0.13309825238382533	0.13309825238382533	0.4636233572271431	0.8726977964291124
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	17	13	17	-0.1080886746675569	-0.22870955283844366	0.12062087817088676	0.12062087817088676	0.2640677840723838	0.8726977964291124
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	17	13	17	0.5938212472511706	0.7131627670564127	-0.1193415198052421	0.1193415198052421	0.4760169798704249	0.8726977964291124
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	17	13	17	0.14694788713668752	0.264118845839194	-0.11717095870250646	0.11717095870250646	0.3242435094300825	0.8726977964291124
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	17	13	17	0.25584300007482086	0.3661712610181331	-0.11032826094331222	0.11032826094331222	0.46519432736945676	0.8726977964291124
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	17	13	17	0.1162678442017845	0.034852503462908385	0.08141534073887612	0.08141534073887612	0.4353114097298777	0.8726977964291124
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	17	13	17	0.11794872079299192	0.07277982152977225	0.04516889926321967	0.04516889926321967	0.7737303481866177	0.9456704255614216
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	17	13	17	0.4817862158435548	0.4847438065892221	-0.0029575907456673156	0.0029575907456673156	0.9883329993831206	0.9883329993831205
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	26	13	17	-0.609931297070905	-0.2976310278197829	-0.3123002692511221	0.3123002692511221	0.2335879306696842	0.8726977964291124
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	26	13	17	-0.7071872553030792	-0.4374927383771709	-0.26969451692590835	0.26969451692590835	0.22270674322771764	0.8726977964291124
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	26	13	17	0.30104799336564814	0.46584698624680115	-0.16479899288115302	0.16479899288115302	0.34128085109372963	0.8726977964291124
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	26	13	17	-0.09686846475495721	-0.2289214494060614	0.1320529846511042	0.1320529846511042	0.20013614228562362	0.8726977964291124
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	26	13	17	0.5378282860832253	0.6390065020413707	-0.10117821595814536	0.10117821595814536	0.5037609549666642	0.886619280741329
M03a_curated_retinol_carrier_strict	Curated retinol carrier strict	26	13	17	1.04616700416214	1.134176677758091	-0.08800967359595102	0.08800967359595102	0.7337932383989266	0.9456704255614216
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	26	13	17	0.40511953687245505	0.49109088225819825	-0.08597134538574319	0.08597134538574319	0.6387997650764139	0.9411222569117382
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	26	13	17	0.23456381637363302	0.1486441252278133	0.08591969114581971	0.08591969114581971	0.5890000946605595	0.9255715773237363
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	26	13	17	0.0980173760707983	0.025173793743559575	0.07284358232723873	0.07284358232723873	0.5549955388803067	0.9255715773237363
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	26	13	17	0.061965641133680784	0.08665204226667446	-0.024686401132993675	0.024686401132993675	0.8951227297537747	0.9771463810236727
M03b_curated_nutrition_carrier_broad	Curated nutrition carrier broad	26	13	17	0.8089069270918294	0.8298688467527127	-0.020961919660883233	0.020961919660883233	0.9114831988069364	0.9771463810236727
M01_curated_inflammatory_acute_phase	Curated inflammatory and acute-phase response	52	13	17	-0.7716586716947874	-0.46893396919521657	-0.30272470249957084	0.30272470249957084	0.14511299931947005	0.8726977964291124
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	52	13	17	-0.5856874327890869	-0.32320695331847643	-0.26248047947061043	0.26248047947061043	0.29764207339580045	0.8726977964291124
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	52	13	17	0.1585017005860442	-0.06312647128296078	0.221628171869005	0.221628171869005	0.16325432301118198	0.8726977964291124
M02_curated_lipid_apolipoprotein_transport	Curated lipid, cholesterol and apolipoprotein transport	52	13	17	0.5195045965989521	0.6269829533358315	-0.10747835673687944	0.10747835673687944	0.5842719379658903	0.9255715773237363
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	52	13	17	0.07818638215933162	0.17540631440924817	-0.09721993224991655	0.09721993224991655	0.6416742660761852	0.9411222569117382
