module_id	module_label	visit_week	n_BMI_lt_18_5	n_BMI_ge_18_5	mean_delta_BMI_lt_18_5	mean_delta_BMI_ge_18_5	delta_difference_lt_minus_ge	abs_delta_difference	welch_p	welch_q_BH_global
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	26	13	17	0.366410538841789	0.4708063991831518	-0.1043958603413627	0.1043958603413627	0.4827645130384551	0.9957490519929996
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	26	13	17	-0.1663122963102125	-0.269713009093429	0.1034007127832164	0.1034007127832164	0.4909460821948325	0.9957490519929996
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	26	13	17	-0.0203754362119658	-0.0948410874217176	0.0744656512097518	0.0744656512097518	0.5804576540869055	0.9957490519929996
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	26	13	17	-0.0472100365458183	-0.1058880591671252	0.0586780226213069	0.0586780226213069	0.3868147888957952	0.9957490519929996
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	26	13	17	-0.1928048431025192	-0.1428628062517876	-0.0499420368507316	0.0499420368507316	0.5649606418838775	0.9957490519929996
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	26	13	17	0.432086327841282	0.4748734765418034	-0.0427871487005213	0.0427871487005213	0.8012005941990479	0.9957490519929996
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	26	13	17	0.3079070574210787	0.2791480187035975	0.0287590387174812	0.0287590387174812	0.8689832425366377	0.9957490519929996
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	26	13	17	0.3015337587130349	0.289024712351455	0.0125090463615799	0.0125090463615799	0.9297552598154208	0.9957490519929996
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	26	13	17	-0.2598397698512555	-0.2563945063095421	-0.0034452635417133	0.0034452635417133	0.9806002636589248	0.9957490519929996
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	52	13	17	-0.5406380726350702	-0.2845303532011539	-0.2561077194339163	0.2561077194339163	0.3377432584215802	0.9957490519929996
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	52	13	17	0.0334561001419098	-0.2025717989482271	0.2360278990901369	0.2360278990901369	0.1712598249011186	0.9957490519929996
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	52	13	17	0.6088556904770264	0.7816033439984453	-0.1727476535214189	0.1727476535214189	0.5986946692435797	0.9957490519929996
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	52	13	17	-0.1633157219319444	-0.299215317324089	0.1358995953921446	0.1358995953921446	0.3174617142559949	0.9957490519929996
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	52	13	17	0.4547923428991264	0.5808400741042462	-0.1260477312051198	0.1260477312051198	0.4161931812531032	0.9957490519929996
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	52	13	17	0.4666223302614873	0.57859619746584	-0.1119738672043526	0.1119738672043526	0.5489874244933153	0.9957490519929996
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	52	13	17	-0.1690025898339687	-0.2764104163977515	0.1074078265637827	0.1074078265637827	0.4841454032102199	0.9957490519929996
M15_treatment_response_pk_safety_proxy	Treatment response, drug handling and safety proxy	52	13	17	0.2137033163101568	0.3199216663977048	-0.106218350087548	0.106218350087548	0.4214835007969634	0.9957490519929996
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	52	13	17	0.2520156298873966	0.3581960029286368	-0.1061803730412402	0.1061803730412402	0.5927138731116054	0.9957490519929996
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	52	13	17	0.4562426079129345	0.540641876033995	-0.0843992681210605	0.0843992681210605	0.6739546604444513	0.9957490519929996
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	52	13	17	-0.1685811976055556	-0.1273686035387408	-0.0412125940668147	0.0412125940668147	0.5016635119859723	0.9957490519929996
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	52	13	17	-0.1418640018020382	-0.135468805226483	-0.0063951965755552	0.0063951965755552	0.9520068669813884	0.9957490519929996
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	52	13	17	0.3304396679233756	0.3296102493021157	0.0008294186212599	0.0008294186212599	0.9957490519929996	0.9957490519929996
