module_id	module_label	model	n_observations	n_patients	term	estimate	std_error	p_value	model_status	q_value_BH_global
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.26]:bmi_lt_18_5	-0.024686401132994112	0.18801469924172298	0.8955376925568181	fit_ok	0.9868234744946474
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.52]:bmi_lt_18_5	-0.09721993224991711	0.2095019867350012	0.6426100926840311	fit_ok	0.9300935552005714
M05_curated_complement_coagulation	Curated complement, coagulation and hemostasis	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.8]:bmi_lt_18_5	0.024893382768074054	0.15619459073352296	0.8733740906056713	fit_ok	0.9868234744946474
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	OLS_cluster_patient_continuous_time	150	30	time_continuous:bmi_lt_18_5	-0.11089475951600214	0.18124308840759196	0.540632712308856	fit_ok	0.8984528233183101
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.17]:bmi_lt_18_5	-0.002957590745667972	0.20287457827476335	0.9883685160204294	fit_ok	0.9961613458645125
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.26]:bmi_lt_18_5	-0.08597134538574337	0.18374353979677016	0.6398648876181083	fit_ok	0.9300935552005714
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.52]:bmi_lt_18_5	-0.08887430202446478	0.21630012364963183	0.681157452699936	fit_ok	0.9467809222427467
M06_curated_ecm_vascular_repair	Curated ECM, vascular biology and tissue repair	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.8]:bmi_lt_18_5	0.01522067061951932	0.1810366522534969	0.9329967395222121	fit_ok	0.9868234744946474
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	OLS_cluster_patient_continuous_time	150	30	time_continuous:bmi_lt_18_5	0.08898025840143194	0.12307948963781808	0.469710896004353	fit_ok	0.8705194817897756
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.17]:bmi_lt_18_5	-0.11717095870250627	0.11818500621716148	0.32148062155481105	fit_ok	0.8705194817897756
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.26]:bmi_lt_18_5	0.08591969114581989	0.15901420018517123	0.5889714312224337	fit_ok	0.899817464367607
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	OLS_cluster_patient_categorical_week	150	30	C(visit_week_cat)[T.52]:bmi_lt_18_5	0.004504741991594375	0.13781389781060194	0.9739240802477086	fit_ok	0.9961613458645125
