module_id	module_label	visit_week	baseline_bmi_group	n	mean_delta_from_week0	sd_delta_from_week0	one_sample_t_p_vs_zero	one_sample_t_q_BH_global
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	17	BMI_ge_18_5	17	0.3397856248002317	0.3855680577359638	0.0022351583297673	0.0137053927289297
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	17	BMI_ge_18_5	17	0.3455086219465227	0.4712081196180827	0.008078259839135	0.0264328254243979
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	17	BMI_ge_18_5	17	0.425885118507429	0.3660890373096619	0.0001977073060104	0.0053745746817871
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	17	BMI_ge_18_5	17	0.4281700668288286	0.3622333414937943	0.000169010262377	0.0053745746817871
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	17	BMI_ge_18_5	17	0.50099698495629	0.4775303233767218	0.0005219324300751	0.0077544246754018
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	17	BMI_lt_18_5	13	-0.5322832848704309	0.4963042179325299	0.0022403045806904	0.0137053927289297
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	17	BMI_lt_18_5	13	-0.3921614229228825	1.0764931593766445	0.2135789904190042	0.2775777042542316
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	17	BMI_lt_18_5	13	-0.3256374777095076	0.6766432178882983	0.1082909903985012	0.1608894714492019
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	17	BMI_lt_18_5	13	-0.1293229258645194	0.2647955806116343	0.1036903011312569	0.1588416356077788
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	17	BMI_lt_18_5	13	-0.0686412194318855	0.2982159755328022	0.4227983652513221	0.4677769147461436
M15_treatment_response_pk_safety_proxy	Treatment response, drug handling and safety proxy	17	BMI_lt_18_5	13	0.014883913442632	0.2699519765099373	0.8457525593953564	0.8457525593953564
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	17	BMI_lt_18_5	13	0.0185308391556008	0.2946831997083034	0.8244491084035571	0.8406147771957837
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	17	BMI_lt_18_5	13	0.0621562328543756	0.3588286224154852	0.5439567569631416	0.5832113682903787
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	17	BMI_lt_18_5	13	0.2273110281471015	0.3870200828661782	0.0557655021388602	0.1035645039721691
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	17	BMI_lt_18_5	13	0.2849745899114596	0.2896679737203833	0.0040177795568677	0.0167139629565698
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	17	BMI_lt_18_5	13	0.3190593544461241	0.3231760630184515	0.0039265642791612	0.0167139629565698
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	17	BMI_lt_18_5	13	0.3735659784198971	0.3700667596043566	0.0033902678509373	0.0167139629565698
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	17	BMI_lt_18_5	13	0.4379294184711628	0.5269722971715035	0.0111426646613427	0.0311298086400617
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	26	BMI_ge_18_5	17	-0.2729693386120125	0.635102267785657	0.0954126116766127	0.1503471456722383
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	26	BMI_ge_18_5	17	-0.269713009093429	0.4703824458408541	0.0310532923977671	0.0645908481873557
