component_type	feature_or_module	pc1_loading
three_module_core_unique_protein_pc1	PLTP_HUMAN	0.08494842981810638
three_module_core_unique_protein_pc1	PON1_HUMAN	0.15458179605748973
three_module_core_unique_protein_pc1	PON3_HUMAN	0.1820695861396456
three_module_core_unique_protein_pc1	RET4_HUMAN	0.2635064770846076
three_module_core_unique_protein_pc1	SHBG_HUMAN	0.10998662049453123
three_module_core_unique_protein_pc1	TRFE_HUMAN	-0.03488540847559738
three_module_core_unique_protein_pc1	TTHY_HUMAN	0.12420325862222735
three_module_core_unique_protein_pc1	VTDB_HUMAN	0.19899108299263496
core_plus_redox_unique_protein_pc1	AFAM_HUMAN	0.2536469512086355
core_plus_redox_unique_protein_pc1	ALBU_HUMAN	0.0822731915168774
core_plus_redox_unique_protein_pc1	AOC3_HUMAN	0.026375425964517085
core_plus_redox_unique_protein_pc1	APOA1_HUMAN	0.18029492165008115
core_plus_redox_unique_protein_pc1	APOA2_HUMAN	0.1014991042350618
core_plus_redox_unique_protein_pc1	APOA4_HUMAN	0.17050579227690488
core_plus_redox_unique_protein_pc1	APOA5_HUMAN	0.06988734456752775
core_plus_redox_unique_protein_pc1	APOB_HUMAN	0.16220302016524024
core_plus_redox_unique_protein_pc1	APOC1_HUMAN	0.18266825929712696
core_plus_redox_unique_protein_pc1	APOC2_HUMAN	0.15121667824742951
core_plus_redox_unique_protein_pc1	APOC3_HUMAN	0.10181272942099825
core_plus_redox_unique_protein_pc1	APOC4_HUMAN	0.15789506541045295
core_plus_redox_unique_protein_pc1	APOD_HUMAN	0.1611557865677809
core_plus_redox_unique_protein_pc1	APOE_HUMAN	0.10103582483929087
core_plus_redox_unique_protein_pc1	APOF_HUMAN	0.06298487558279432
core_plus_redox_unique_protein_pc1	APOH_HUMAN	0.24266297268178946
core_plus_redox_unique_protein_pc1	APOL1_HUMAN	0.09138794563432746
core_plus_redox_unique_protein_pc1	APOM_HUMAN	0.16210317074051725
core_plus_redox_unique_protein_pc1	CETP_HUMAN	0.16911255646989634
core_plus_redox_unique_protein_pc1	CLUS_HUMAN	0.19837865320387257
core_plus_redox_unique_protein_pc1	GPX1_HUMAN	-0.07982807240461516
core_plus_redox_unique_protein_pc1	GPX3_HUMAN	0.04825984220564383
core_plus_redox_unique_protein_pc1	GPX4_HUMAN	0.01220502817782404
core_plus_redox_unique_protein_pc1	GSTP1_HUMAN	-0.1820642762464491
core_plus_redox_unique_protein_pc1	IBP3_HUMAN	0.2566333954980869
core_plus_redox_unique_protein_pc1	IBP4_HUMAN	0.12938654170741312
core_plus_redox_unique_protein_pc1	IBP5_HUMAN	0.10533638137895743
core_plus_redox_unique_protein_pc1	IBP6_HUMAN	0.1158760824190716
core_plus_redox_unique_protein_pc1	IGF1_HUMAN	0.13551719842079626
core_plus_redox_unique_protein_pc1	IGF2_HUMAN	0.14843060187871562
core_plus_redox_unique_protein_pc1	LCAT_HUMAN	-0.003748650975966082
core_plus_redox_unique_protein_pc1	LEPR_HUMAN	-0.0116586765423224
core_plus_redox_unique_protein_pc1	LEP_HUMAN	0.07622115157456129
core_plus_redox_unique_protein_pc1	LUM_HUMAN	0.20544537277056757
core_plus_redox_unique_protein_pc1	MMP2_HUMAN	0.19792688589830576
core_plus_redox_unique_protein_pc1	MMP9_HUMAN	0.030922742959117372
core_plus_redox_unique_protein_pc1	PLOD1_HUMAN	0.03741217439433985
core_plus_redox_unique_protein_pc1	PLOD3_HUMAN	-0.005566531395556617
core_plus_redox_unique_protein_pc1	PLTP_HUMAN	0.0978299916794708
core_plus_redox_unique_protein_pc1	PON1_HUMAN	0.152105495095494
core_plus_redox_unique_protein_pc1	PON3_HUMAN	0.15699583352662785
core_plus_redox_unique_protein_pc1	PRDX1_HUMAN	0.06584504123397784
core_plus_redox_unique_protein_pc1	PRDX2_HUMAN	0.09197562343003461
core_plus_redox_unique_protein_pc1	PRDX4_HUMAN	-0.014686946640553162
core_plus_redox_unique_protein_pc1	PRDX5_HUMAN	-0.15371458576828256
core_plus_redox_unique_protein_pc1	PRDX6_HUMAN	-0.12548074683512225
core_plus_redox_unique_protein_pc1	PXDN_HUMAN	-0.0958684944211101
core_plus_redox_unique_protein_pc1	RET4_HUMAN	0.24179366747364395
core_plus_redox_unique_protein_pc1	SHBG_HUMAN	0.10064628703566593
core_plus_redox_unique_protein_pc1	TIMP1_HUMAN	-0.05112848902790808
core_plus_redox_unique_protein_pc1	TIMP2_HUMAN	0.13650414148639242
core_plus_redox_unique_protein_pc1	TRFE_HUMAN	-0.015889035582015414
core_plus_redox_unique_protein_pc1	TTHY_HUMAN	0.08698222483162535
core_plus_redox_unique_protein_pc1	VTDB_HUMAN	0.19010854314616846
