component_type	feature_or_module	pc1_loading
three_module_core_score_pc1	legacy__m13_curated_endocrine_immunometabolic	0.5946854962341908
three_module_core_score_pc1	legacy__m03b_curated_nutrition_carrier_broad	0.5713650936697056
three_module_core_score_pc1	legacy__m02_curated_lipid_apolipoprotein_transport	0.5655891532769193
three_module_core_unique_protein_pc1	AFAM_HUMAN	0.2767770036598022
three_module_core_unique_protein_pc1	ALBU_HUMAN	0.08909566206057157
three_module_core_unique_protein_pc1	APOA1_HUMAN	0.2118622853052592
three_module_core_unique_protein_pc1	APOA2_HUMAN	0.12603926242522265
three_module_core_unique_protein_pc1	APOA4_HUMAN	0.16315783437628048
three_module_core_unique_protein_pc1	APOA5_HUMAN	0.06205575308749047
three_module_core_unique_protein_pc1	APOB_HUMAN	0.20317872002239434
three_module_core_unique_protein_pc1	APOC1_HUMAN	0.2251875849859731
three_module_core_unique_protein_pc1	APOC2_HUMAN	0.1781340085585361
three_module_core_unique_protein_pc1	APOC3_HUMAN	0.13356838285907302
three_module_core_unique_protein_pc1	APOC4_HUMAN	0.20022309160876828
three_module_core_unique_protein_pc1	APOD_HUMAN	0.17678080967637372
three_module_core_unique_protein_pc1	APOE_HUMAN	0.11981364451235889
three_module_core_unique_protein_pc1	APOF_HUMAN	0.09545689272528057
three_module_core_unique_protein_pc1	APOH_HUMAN	0.2639964598399487
three_module_core_unique_protein_pc1	APOL1_HUMAN	0.1104263109092977
three_module_core_unique_protein_pc1	APOM_HUMAN	0.1961350354417858
three_module_core_unique_protein_pc1	CETP_HUMAN	0.16518753854014523
three_module_core_unique_protein_pc1	CLUS_HUMAN	0.22964544631972703
three_module_core_unique_protein_pc1	IBP3_HUMAN	0.2713467714812875
three_module_core_unique_protein_pc1	IBP4_HUMAN	0.1340342504996819
three_module_core_unique_protein_pc1	IBP5_HUMAN	0.12251069982397189
three_module_core_unique_protein_pc1	IBP6_HUMAN	0.1372751339370728
three_module_core_unique_protein_pc1	IGF1_HUMAN	0.15915685263212223
three_module_core_unique_protein_pc1	IGF2_HUMAN	0.1457078599027459
three_module_core_unique_protein_pc1	LCAT_HUMAN	0.00031687516855281796
three_module_core_unique_protein_pc1	LEPR_HUMAN	-0.02698403250847313
three_module_core_unique_protein_pc1	LEP_HUMAN	0.11264527719198678
