model_family	test_family	axis	fit_type	n_observations	n_subjects	term	estimate	std_error	test_statistic	p_value	fdr_bh
continuous_bmi_by_time	continuous_bmi_by_time	three_module_core_score_pc1	mixedlm_random_intercept	150	30	bmi:C(timepoint)[T.17]	0.046208931179364	0.0759069205431529	0.6087578161347535	0.5426849782497523	0.9164360574521274
continuous_bmi_by_time	continuous_bmi_by_time	three_module_core_score_pc1	mixedlm_random_intercept	150	30	bmi:C(timepoint)[T.26]	0.0079644632202092	0.0759069205431531	0.104924072314084	0.9164360574521274	0.9164360574521274
continuous_bmi_by_time	continuous_bmi_by_time	three_module_core_score_pc1	mixedlm_random_intercept	150	30	bmi:C(timepoint)[T.52]	-0.0378061215153489	0.0759069205431523	-0.49805895489933	0.6184424893935194	0.9164360574521274
continuous_bmi_by_time	continuous_bmi_by_time	three_module_core_unique_protein_pc1	mixedlm_random_intercept	150	30	bmi:C(timepoint)[T.8]	0.113905328274898	0.1277544168613728	0.8915960095414746	0.3726095098113409	0.9164360574521274
continuous_bmi_by_time	continuous_bmi_by_time	three_module_core_unique_protein_pc1	mixedlm_random_intercept	150	30	bmi:C(timepoint)[T.17]	0.0641909416307864	0.1277544168613728	0.5024557522769681	0.6153469699019085	0.9164360574521274
continuous_bmi_by_time	continuous_bmi_by_time	three_module_core_unique_protein_pc1	mixedlm_random_intercept	150	30	bmi:C(timepoint)[T.26]	0.0304204976857172	0.1277544168613721	0.2381169937844643	0.8117903546326979	0.9164360574521274
continuous_bmi_by_time	continuous_bmi_by_time	three_module_core_unique_protein_pc1	mixedlm_random_intercept	150	30	bmi:C(timepoint)[T.52]	-0.0588304660588582	0.1277544168613725	-0.4604965331468397	0.6451598593631113	0.9164360574521274
continuous_bmi_by_time	continuous_bmi_by_time	core_plus_redox_unique_protein_pc1	mixedlm_random_intercept	150	30	bmi:C(timepoint)[T.8]	0.1080182156483003	0.144143389444182	0.7493802946137136	0.4536280244561481	0.9164360574521274
continuous_bmi_by_time	continuous_bmi_by_time	core_plus_redox_unique_protein_pc1	mixedlm_random_intercept	150	30	bmi:C(timepoint)[T.17]	0.0405077046030459	0.1441433894441829	0.2810236720479777	0.7786922434925461	0.9164360574521274
continuous_bmi_by_time	continuous_bmi_by_time	core_plus_redox_unique_protein_pc1	mixedlm_random_intercept	150	30	bmi:C(timepoint)[T.26]	-0.0240057267820963	0.1441433894441829	-0.1665406015125801	0.8677315338969239	0.9164360574521274
continuous_bmi_by_time	continuous_bmi_by_time	core_plus_redox_unique_protein_pc1	mixedlm_random_intercept	150	30	bmi:C(timepoint)[T.52]	-0.0819068764539479	0.1441433894441824	-0.5682319305087885	0.5698774926462007	0.9164360574521274
